slug,character,unicodeName,codePoint,group,subGroup,variants
e1-0-vulcan-salute,🖖,E1.0 vulcan salute,1F596,people-body,hand-fingers-open,"[{'slug': 'e1-0-vulcan-salute-light-skin-tone', 'character': '🖖🏻'}, {'slug': 'e1-0-vulcan-salute-medium-light-skin-tone', 'character': '🖖🏼'}, {'slug': 'e1-0-vulcan-salute-medium-skin-tone', 'character': '🖖🏽'}, {'slug': 'e1-0-vulcan-salute-medium-dark-skin-tone', 'character': '🖖🏾'}, {'slug': 'e1-0-vulcan-salute-dark-skin-tone', 'character': '🖖🏿'}]"
e14-0-rightwards-hand,🫱,E14.0 rightwards hand,1FAF1,people-body,hand-fingers-open,"[{'slug': 'e14-0-rightwards-hand-light-skin-tone', 'character': '🫱🏻'}, {'slug': 'e14-0-rightwards-hand-medium-light-skin-tone', 'character': '🫱🏼'}, {'slug': 'e14-0-rightwards-hand-medium-skin-tone', 'character': '🫱🏽'}, {'slug': 'e14-0-rightwards-hand-medium-dark-skin-tone', 'character': '🫱🏾'}, {'slug': 'e14-0-rightwards-hand-dark-skin-tone', 'character': '🫱🏿'}, {'slug': 'e14-0-handshake-light-skin-tone-medium-skin-tone', 'character': '🫱🏻\u200d🫲🏽'}, {'slug': 'e14-0-handshake-light-skin-tone-medium-dark-skin-tone', 'character': '🫱🏻\u200d🫲🏾'}, {'slug': 'e14-0-handshake-light-skin-tone-dark-skin-tone', 'character': '🫱🏻\u200d🫲🏿'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-light-skin-tone', 'character': '🫱🏼\u200d🫲🏻'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-medium-skin-tone', 'character': '🫱🏼\u200d🫲🏽'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-medium-dark-skin-tone', 'character': '🫱🏼\u200d🫲🏾'}, {'slug': 'e14-0-handshake-medium-light-skin-tone-dark-skin-tone', 'character': '🫱🏼\u200d🫲🏿'}, {'slug': 'e14-0-handshake-medium-skin-tone-light-skin-tone', 'character': '🫱🏽\u200d🫲🏻'}, {'slug': 'e14-0-handshake-medium-skin-tone-medium-light-skin-tone', 'character': '🫱🏽\u200d🫲🏼'}, {'slug': 'e14-0-handshake-medium-skin-tone-medium-dark-skin-tone', 'character': '🫱🏽\u200d🫲🏾'}, {'slug': 'e14-0-handshake-medium-skin-tone-dark-skin-tone', 'character': '🫱🏽\u200d🫲🏿'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-light-skin-tone', 'character': '🫱🏾\u200d🫲🏻'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-medium-light-skin-tone', 'character': '🫱🏾\u200d🫲🏼'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-medium-skin-tone', 'character': '🫱🏾\u200d🫲🏽'}, {'slug': 'e14-0-handshake-medium-dark-skin-tone-dark-skin-tone', 'character': '🫱🏾\u200d🫲🏿'}, {'slug': 'e14-0-handshake-dark-skin-tone-light-skin-tone', 'character': '🫱🏿\u200d🫲🏻'}, {'slug': 'e14-0-handshake-dark-skin-tone-medium-light-skin-tone', 'character': '🫱🏿\u200d🫲🏼'}, {'slug': 'e14-0-handshake-dark-skin-tone-medium-skin-tone', 'character': '🫱🏿\u200d🫲🏽'}, {'slug': 'e14-0-handshake-dark-skin-tone-medium-dark-skin-tone', 'character': '🫱🏿\u200d🫲🏾'}]"
e14-0-leftwards-hand,🫲,E14.0 leftwards hand,1FAF2,people-body,hand-fingers-open,"[{'slug': 'e14-0-leftwards-hand-light-skin-tone', 'character': '🫲🏻'}, {'slug': 'e14-0-leftwards-hand-medium-light-skin-tone', 'character': '🫲🏼'}, {'slug': 'e14-0-leftwards-hand-medium-skin-tone', 'character': '🫲🏽'}, {'slug': 'e14-0-leftwards-hand-medium-dark-skin-tone', 'character': '🫲🏾'}, {'slug': 'e14-0-leftwards-hand-dark-skin-tone', 'character': '🫲🏿'}]"
e14-0-palm-down-hand,🫳,E14.0 palm down hand,1FAF3,people-body,hand-fingers-open,"[{'slug': 'e14-0-palm-down-hand-light-skin-tone', 'character': '🫳🏻'}, {'slug': 'e14-0-palm-down-hand-medium-light-skin-tone', 'character': '🫳🏼'}, {'slug': 'e14-0-palm-down-hand-medium-skin-tone', 'character': '🫳🏽'}, {'slug': 'e14-0-palm-down-hand-medium-dark-skin-tone', 'character': '🫳🏾'}, {'slug': 'e14-0-palm-down-hand-dark-skin-tone', 'character': '🫳🏿'}]"
e14-0-palm-up-hand,🫴,E14.0 palm up hand,1FAF4,people-body,hand-fingers-open,"[{'slug': 'e14-0-palm-up-hand-light-skin-tone', 'character': '🫴🏻'}, {'slug': 'e14-0-palm-up-hand-medium-light-skin-tone', 'character': '🫴🏼'}, {'slug': 'e14-0-palm-up-hand-medium-skin-tone', 'character': '🫴🏽'}, {'slug': 'e14-0-palm-up-hand-medium-dark-skin-tone', 'character': '🫴🏾'}, {'slug': 'e14-0-palm-up-hand-dark-skin-tone', 'character': '🫴🏿'}]"
e15-0-leftwards-pushing-hand,🫷,E15.0 leftwards pushing hand,1FAF7,people-body,hand-fingers-open,"[{'slug': 'e15-0-leftwards-pushing-hand-light-skin-tone', 'character': '🫷🏻'}, {'slug': 'e15-0-leftwards-pushing-hand-medium-light-skin-tone', 'character': '🫷🏼'}, {'slug': 'e15-0-leftwards-pushing-hand-medium-skin-tone', 'character': '🫷🏽'}, {'slug': 'e15-0-leftwards-pushing-hand-medium-dark-skin-tone', 'character': '🫷🏾'}, {'slug': 'e15-0-leftwards-pushing-hand-dark-skin-tone', 'character': '🫷🏿'}]"
e15-0-rightwards-pushing-hand,🫸,E15.0 rightwards pushing hand,1FAF8,people-body,hand-fingers-open,"[{'slug': 'e15-0-rightwards-pushing-hand-light-skin-tone', 'character': '🫸🏻'}, {'slug': 'e15-0-rightwards-pushing-hand-medium-light-skin-tone', 'character': '🫸🏼'}, {'slug': 'e15-0-rightwards-pushing-hand-medium-skin-tone', 'character': '🫸🏽'}, {'slug': 'e15-0-rightwards-pushing-hand-medium-dark-skin-tone', 'character': '🫸🏾'}, {'slug': 'e15-0-rightwards-pushing-hand-dark-skin-tone', 'character': '🫸🏿'}]"
e0-6-ok-hand,👌,E0.6 OK hand,1F44C,people-body,hand-fingers-partial,"[{'slug': 'e1-0-ok-hand-light-skin-tone', 'character': '👌🏻'}, {'slug': 'e1-0-ok-hand-medium-light-skin-tone', 'character': '👌🏼'}, {'slug': 'e1-0-ok-hand-medium-skin-tone', 'character': '👌🏽'}, {'slug': 'e1-0-ok-hand-medium-dark-skin-tone', 'character': '👌🏾'}, {'slug': 'e1-0-ok-hand-dark-skin-tone', 'character': '👌🏿'}]"
e13-0-pinched-fingers,🤌,E13.0 pinched fingers,1F90C,people-body,hand-fingers-partial,"[{'slug': 'e13-0-pinched-fingers-light-skin-tone', 'character': '🤌🏻'}, {'slug': 'e13-0-pinched-fingers-medium-light-skin-tone', 'character': '🤌🏼'}, {'slug': 'e13-0-pinched-fingers-medium-skin-tone', 'character': '🤌🏽'}, {'slug': 'e13-0-pinched-fingers-medium-dark-skin-tone', 'character': '🤌🏾'}, {'slug': 'e13-0-pinched-fingers-dark-skin-tone', 'character': '🤌🏿'}]"
e12-0-pinching-hand,🤏,E12.0 pinching hand,1F90F,people-body,hand-fingers-partial,"[{'slug': 'e12-0-pinching-hand-light-skin-tone', 'character': '🤏🏻'}, {'slug': 'e12-0-pinching-hand-medium-light-skin-tone', 'character': '🤏🏼'}, {'slug': 'e12-0-pinching-hand-medium-skin-tone', 'character': '🤏🏽'}, {'slug': 'e12-0-pinching-hand-medium-dark-skin-tone', 'character': '🤏🏾'}, {'slug': 'e12-0-pinching-hand-dark-skin-tone', 'character': '🤏🏿'}]"
e0-6-victory-hand,✌️,E0.6 victory hand,270C FE0F,people-body,hand-fingers-partial,
e1-0-victory-hand-light-skin-tone,✌🏻,E1.0 victory hand: light skin tone,270C 1F3FB,people-body,hand-fingers-partial,
e1-0-victory-hand-medium-light-skin-tone,✌🏼,E1.0 victory hand: medium-light skin tone,270C 1F3FC,people-body,hand-fingers-partial,
e1-0-victory-hand-medium-skin-tone,✌🏽,E1.0 victory hand: medium skin tone,270C 1F3FD,people-body,hand-fingers-partial,
e1-0-victory-hand-medium-dark-skin-tone,✌🏾,E1.0 victory hand: medium-dark skin tone,270C 1F3FE,people-body,hand-fingers-partial,
e1-0-victory-hand-dark-skin-tone,✌🏿,E1.0 victory hand: dark skin tone,270C 1F3FF,people-body,hand-fingers-partial,
e3-0-crossed-fingers,🤞,E3.0 crossed fingers,1F91E,people-body,hand-fingers-partial,"[{'slug': 'e3-0-crossed-fingers-light-skin-tone', 'character': '🤞🏻'}, {'slug': 'e3-0-crossed-fingers-medium-light-skin-tone', 'character': '🤞🏼'}, {'slug': 'e3-0-crossed-fingers-medium-skin-tone', 'character': '🤞🏽'}, {'slug': 'e3-0-crossed-fingers-medium-dark-skin-tone', 'character': '🤞🏾'}, {'slug': 'e3-0-crossed-fingers-dark-skin-tone', 'character': '🤞🏿'}]"
